Player,Squad,Pos,Season,Games,Minutes,Goals,Assists,xG,xA,NonPenaltyGoals,Per90_G+A-PK,Shots,KeyPasses,YellowCards,RedCards
Erling Haaland,Man City,FW,2022-2023,35,2803,36,8,32.761399537324905,5.8491098545491695,29,1.1880128433820907,123,29,5,0
Harry Kane,Tottenham,FW,2022-2023,38,3414,30,3,23.06444012373686,7.547407771460712,25,0.7381370826010546,133,57,6,0
Ivan Toney,Brentford,FW,2022-2023,33,2960,20,4,21.69119757413864,4.909892840310931,14,0.5472972972972974,94,26,9,0
Mohamed Salah,Liverpool,FW,2022-2023,38,3307,19,12,23.340063713490963,8.720245610922575,17,0.7892349561536135,125,65,2,0
Callum Wilson,Newcastle,FW,2022-2023,31,1911,18,5,18.856768030673265,3.567963434383273,15,0.9419152276295133,73,24,4,0
Marcus Rashford,Man United,FW,2022-2023,35,2907,17,5,18.761760517954823,3.735412929207087,17,0.6811145510835914,108,31,2,0
Martin Odegaard,Arsenal,MF,2022-2023,37,3203,15,7,9.137760860845448,9.209956639446318,15,0.6181704651888854,93,77,4,0
Gabriel Martinelli,Arsenal,FW,2022-2023,36,2851,15,5,10.538134384900331,9.349485490471125,15,0.6313574184496668,79,59,3,0
Ollie Watkins,Aston Villa,FW,2022-2023,37,3150,15,6,17.486295863986015,3.674034003168345,14,0.5714285714285714,85,30,4,0
Aleksandar Mitrovic,Fulham,FW,2022-2023,24,2022,14,1,16.17901684064418,2.334498234093189,10,0.48961424332344217,93,15,7,0
Bukayo Saka,Arsenal,FW,2022-2023,38,3216,14,11,11.300049655139446,7.042980744503439,12,0.6436567164179104,89,75,6,0
Rodrigo,Leeds,FW,2022-2023,31,1955,13,1,8.572983920574188,2.298705962486565,12,0.59846547314578,67,16,6,0
Harvey Barnes,Leicester,FW,2022-2023,34,2738,13,1,9.120478011667728,3.107304636389017,13,0.4601899196493791,72,19,3,0
Roberto Firmino,Liverpool,FW,2022-2023,25,1203,11,4,8.122956335544586,3.0548400916159157,11,1.1221945137157108,39,21,0,0
Gabriel Jesus,Arsenal,FW,2022-2023,26,2107,11,6,16.171134389936924,4.243733491748571,10,0.68343616516374,77,31,6,0
Phil Foden,Man City,FW,2022-2023,32,1837,11,6,6.185852009803057,5.697479462251067,11,0.8328796951551443,46,44,1,0
Miguel Almirón,Newcastle,FW,2022-2023,34,2550,11,2,8.727059464901686,2.9551383573561907,11,0.45882352941176474,69,26,2,0
Son Heung-Min,Tottenham,FW,2022-2023,36,2920,10,6,9.597895424813032,6.334341483190656,10,0.4931506849315069,81,62,2,0
Alexander Isak,Newcastle,FW,2022-2023,22,1530,10,1,8.784851711243391,1.7707323329523206,8,0.5294117647058824,51,15,3,0
James Maddison,Leicester,FW,2022-2023,30,2485,10,9,8.489387180656195,7.773198906332254,9,0.6519114688128773,85,69,10,0
Taiwo Awoniyi,Nott'm Forest,FW,2022-2023,27,1426,10,1,8.0510318800807,1.02802275121212,10,0.6942496493688639,35,10,2,0
Alexis Mac Allister,Brighton,MF,2022-2023,35,2882,10,2,11.532242968678474,3.928120201453567,4,0.18736988202637056,86,47,8,0
Eberechi Eze,Crystal Palace,FW,2022-2023,38,2657,10,4,6.831764040514827,4.619440779089928,9,0.4403462551750094,70,57,3,0
Pascal Groß,Brighton,DF,2022-2023,37,3261,9,8,5.954401790164411,11.246030485257506,9,0.46918123275068996,40,80,6,0
James Ward-Prowse,Southampton,MF,2022-2023,38,3378,9,4,5.408911099657416,6.058508426882327,7,0.29307282415630553,44,72,6,0
Bryan Mbeumo,Brentford,FW,2022-2023,38,2991,9,8,10.100785619579256,7.65799580514431,8,0.48144433299899697,71,52,5,0
Darwin Núñez,Liverpool,FW,2022-2023,29,1702,9,3,14.374805428087711,5.6468874625861645,9,0.6345475910693302,84,28,1,1
Julián Álvarez,Man City,FW,2022-2023,31,1416,9,0,7.753276175819337,2.0468210969120264,8,0.5084745762711864,47,18,0,0
Ilkay Gündogan,Man City,MF,2022-2023,31,2369,8,4,7.842695340514183,3.444544769823551,8,0.4558885605740819,54,37,0,0
Danny Ings,"Aston Villa,West Ham",FW,2022-2023,35,1562,8,2,8.25754163786769,1.4635955430567265,6,0.46094750320102434,42,15,4,0
Bruno Fernandes,Man United,MF,2022-2023,37,3326,8,8,9.385456696152689,17.266709440387785,6,0.3788334335538184,92,118,6,0
Leandro Trossard,"Arsenal,Brighton",DF,2022-2023,36,2263,8,12,7.068454213440418,6.358577378094196,8,0.7954043305346884,55,47,1,0
Brennan Johnson,Nott'm Forest,FW,2022-2023,38,2952,8,3,8.266518421471119,3.7432961594313374,7,0.30487804878048785,55,28,6,0
Granit Xhaka,Arsenal,MF,2022-2023,37,3039,7,7,5.785433189943433,4.802904064767063,7,0.4146100691016782,40,46,4,0
Kevin De Bruyne,Man City,MF,2022-2023,32,2448,7,16,4.7582743894308805,16.31964398175478,7,0.8455882352941176,65,97,1,0
Wilfried Zaha,Crystal Palace,FW,2022-2023,27,2308,7,2,7.797594489529729,2.760253319516778,7,0.3509532062391681,66,26,5,0
Kai Havertz,Chelsea,FW,2022-2023,35,2613,7,1,12.77656376361847,3.5748752877116203,6,0.24110218140068884,71,38,5,0
Yoane Wissa,Brentford,FW,2022-2023,38,1583,7,3,5.207585535943508,2.6399280801415443,7,0.5685407454200885,32,13,3,0
Philip Billing,Bournemouth,FW,2022-2023,36,2822,7,1,4.894198485650122,3.457261343486607,7,0.2551381998582566,38,27,5,0
Dwight McNeil,Everton,DF,2022-2023,36,2512,7,3,3.871220519766212,7.44360885117203,7,0.35828025477707004,46,51,5,0
Diogo Jota,Liverpool,FW,2022-2023,22,1132,7,4,6.437793597579002,1.7756053674966097,7,0.8745583038869258,35,17,2,0
Kaoru Mitoma,Brighton,DF,2022-2023,33,2306,7,5,9.245785741135478,7.035773795098066,7,0.4683434518647008,52,40,0,0
Cody Gakpo,Liverpool,FW,2022-2023,21,1483,7,2,6.554539561271668,2.981710772961378,7,0.5461901550910316,39,23,0,0
Joelinton,Newcastle,FW,2022-2023,32,2677,6,1,6.252544686198235,3.116438364610076,6,0.23533806499813226,51,26,12,0
Danny Welbeck,Brighton,FW,2022-2023,31,1868,6,3,9.550176788121462,5.098056230694056,6,0.4336188436830835,62,30,0,0
Anthony Martial,Man United,FW,2022-2023,21,987,6,2,7.3281096909195185,1.756760749965906,5,0.6382978723404256,27,12,0,0
Raheem Sterling,Chelsea,DF,2022-2023,28,1919,6,3,7.405153378844261,4.861129405908287,6,0.42209484106305367,41,34,4,0
Dominic Solanke,Bournemouth,FW,2022-2023,33,2874,6,7,9.317674346268175,3.957623152993619,6,0.407098121085595,76,21,2,0
Jarrod Bowen,West Ham,FW,2022-2023,38,3245,6,5,10.004229810088871,6.90739019960165,5,0.2773497688751926,75,48,2,0
Said Benrahma,West Ham,FW,2022-2023,35,2070,6,3,6.350573148578405,4.756499437615275,2,0.21739130434782608,73,48,0,0
Solly March,Brighton,DF,2022-2023,33,2745,6,7,8.069857582449913,9.567008880898356,6,0.4262295081967213,73,65,2,0
Douglas Luiz,Aston Villa,MF,2022-2023,37,2947,6,6,3.191290902905166,4.567880779504776,6,0.3664743807261622,34,45,6,1
Jadon Sancho,Man United,FW,2022-2023,26,1710,6,3,3.789094930514693,4.790035545825958,6,0.47368421052631576,21,43,0,0
Rúben Neves,Wolves,DF,2022-2023,35,3022,6,1,5.006285472773016,1.8384296027943487,3,0.11912640635340835,67,32,12,0
Daniel Podence,Wolves,FW,2022-2023,32,1769,6,0,3.7195267919451,2.4171172585338354,6,0.30525720746184287,43,37,5,0
Jacob Ramsey,Aston Villa,MF,2022-2023,35,2675,6,7,5.228078290820122,5.728406075388193,6,0.4373831775700935,33,42,5,0
Evan Ferguson,Brighton,FW,2022-2023,19,950,6,2,5.667327303439379,0.6870213840156794,6,0.7578947368421053,36,11,1,0
Michail Antonio,West Ham,FW,2022-2023,33,1847,5,3,7.201865157112479,1.6608268171548843,5,0.38982133188955065,39,15,2,0
Kelechi Iheanacho,Leicester,FW,2022-2023,28,1120,5,5,6.133550511673093,3.7054135501384735,4,0.7232142857142857,39,22,0,0
Jack Grealish,Man City,FW,2022-2023,28,2083,5,7,4.998198181390762,7.464956499636173,5,0.5184829572731636,41,50,3,0
Willian,Fulham,MF,2022-2023,27,2174,5,5,3.383236724883318,5.042201226577163,5,0.4139834406623735,41,51,2,0
Riyad Mahrez,Man City,FW,2022-2023,30,1941,5,10,5.864552567712963,6.157492842525244,4,0.6491499227202473,43,51,2,0
Abdoulaye Doucouré,Everton,MF,2022-2023,25,1519,5,2,3.214016545563936,2.4725133273750544,5,0.4147465437788019,20,22,6,1
Jefferson Lerma,Bournemouth,DF,2022-2023,37,3263,5,0,3.1550366831943397,2.628147560171783,5,0.1379098988660742,35,18,7,0
Emiliano Buendía,Aston Villa,FW,2022-2023,38,2446,5,2,5.6266536470502615,4.373138631694019,5,0.25756336876533115,49,40,0,0
Odsonne Edouard,Crystal Palace,FW,2022-2023,35,1819,5,2,5.535292422398925,1.2745107971131802,5,0.34634414513468936,39,17,3,0
Rodrigo Bentancur,Tottenham,MF,2022-2023,18,1516,5,2,2.4369436921551824,0.6443385947495699,5,0.4155672823218997,15,11,8,0
Morgan Gibbs-White,"Nott'm Forest,Wolves",FW,2022-2023,37,3170,5,8,6.6556903049349785,7.807910647243261,3,0.31230283911671924,62,67,6,0
Mathias Jensen,Brentford,MF,2022-2023,37,2898,5,6,1.9304941780865192,3.59164313133806,5,0.3416149068322981,23,48,5,0
Carlos Vinicius,Fulham,FW,2022-2023,28,1079,5,2,3.5915758907794952,0.5233518667519093,5,0.5838739573679332,21,8,3,0
Che Adams,Southampton,FW,2022-2023,28,2019,5,3,7.306276918388903,2.7257514875382185,5,0.35661218424962854,47,24,1,0
Jack Harrison,Leeds,DF,2022-2023,36,2793,5,7,5.013850751332939,5.010656230151653,5,0.38668098818474755,39,53,2,0
Marcus Tavernier,Bournemouth,DF,2022-2023,23,1770,5,4,3.9280984150245786,2.7044622469693422,5,0.45762711864406774,37,17,1,0
Deniz Undav,Brighton,FW,2022-2023,22,594,5,0,5.5473707262426615,1.1680052187293768,5,0.7575757575757576,27,8,2,0
Luis Sinisterra,Leeds,FW,2022-2023,19,891,5,0,3.361706962808966,0.3890431001782417,5,0.5050505050505051,28,9,1,1
Pierre-Emile Højbjerg,Tottenham,MF,2022-2023,35,3137,4,5,1.5295524531975389,3.1992804715409875,4,0.2582084794389544,33,30,5,0
Jordan Ayew,Crystal Palace,FW,2022-2023,38,2738,4,3,2.751328118145466,3.050740525126457,4,0.23009495982468955,32,30,5,0
Demarai Gray,Everton,FW,2022-2023,33,2520,4,1,6.325153514742851,3.608845199458301,2,0.10714285714285714,59,36,3,0
Patrick Bamford,Leeds,FW,2022-2023,28,1523,4,2,9.774512918666003,1.0358418971300123,4,0.3545633617859488,50,12,3,0
Andreas Pereira,Fulham,MF,2022-2023,33,2765,4,6,6.426880993880332,4.836930306628346,3,0.29294755877034356,62,60,8,0
Casemiro,Man United,MF,2022-2023,28,2127,4,3,3.140908549539745,3.8724323799833655,4,0.29619181946403383,34,28,7,2
Bernardo Silva,Man City,DF,2022-2023,34,2194,4,5,2.2564154639840126,3.916250504553318,4,0.3691886964448496,25,30,5,0
Leon Bailey,Aston Villa,FW,2022-2023,33,2031,4,4,4.778411947190762,5.5339578883722425,4,0.35450516986706054,51,30,4,0
Declan Rice,West Ham,MF,2022-2023,37,3268,4,1,2.2349475855007768,2.33805207721889,4,0.13769889840881272,36,36,5,0
Jacob Murphy,Newcastle,FW,2022-2023,36,1215,4,2,3.697086520493031,2.68278655782342,4,0.4444444444444444,29,20,0,0
Eddie Nketiah,Arsenal,FW,2022-2023,30,1017,4,1,9.223067251965404,1.481980249285698,4,0.44247787610619466,41,9,3,0
Bobby Reid,Fulham,DF,2022-2023,36,2511,4,1,4.226093959063292,1.5008238069713116,4,0.17921146953405018,31,18,8,0
Lucas Paquetá,West Ham,FW,2022-2023,28,2209,4,3,5.04679605551064,2.8692219518125057,3,0.24445450430058852,53,32,5,0
João Félix,Chelsea,FW,2022-2023,16,953,4,0,4.288620352745056,0.6466051954776049,4,0.3777544596012592,46,6,1,1
Anthony Gordon,"Everton,Newcastle",FW,2022-2023,32,1564,4,0,5.549364037811756,1.411392219364643,4,0.23017902813299235,34,14,7,0
Bruno Guimarães,Newcastle,MF,2022-2023,32,2762,4,5,2.726729958318174,3.806102696806192,4,0.29326574945691525,28,42,7,0
Crysencio Summerville,Leeds,FW,2022-2023,28,1391,4,2,3.559207702055573,1.4241413976997137,4,0.3882099209202013,29,16,4,0
Patson Daka,Leicester,FW,2022-2023,30,1164,4,4,4.064196912571788,2.733729289844632,4,0.6185567010309279,30,17,2,0
Josh Dasilva,Brentford,MF,2022-2023,36,1374,4,2,1.5916067343205214,2.0804033745080237,4,0.3930131004366812,18,12,1,0
Luis Díaz,Liverpool,FW,2022-2023,17,997,4,2,3.568711277097464,1.9563428275287151,4,0.5416248746238717,27,13,2,0
Manor Solomon,Fulham,MF,2022-2023,19,536,4,0,1.042859235778451,0.3249989273026585,4,0.6716417910447761,11,6,0,0
Kieffer Moore,Bournemouth,FW,2022-2023,27,1273,4,0,4.823006581515074,0.5260727815330029,4,0.2827965435978005,23,5,1,0
Julio Enciso,Brighton,FW,2022-2023,20,798,4,2,4.214253352954984,1.779839888215065,4,0.6766917293233082,38,13,1,0
Antony,Man United,FW,2022-2023,25,1841,4,2,5.857848301529884,2.37078566942364,4,0.2933188484519283,72,28,5,0
Carlos Alcaraz,Southampton,FW,2022-2023,18,1050,4,2,1.9036163073033092,0.8085567876696587,4,0.5142857142857143,24,5,3,0
Jamie Vardy,Leicester,FW,2022-2023,37,1832,3,4,6.644154226407409,1.7369483597576618,3,0.34388646288209607,28,14,1,0
Jeffrey Schlupp,Crystal Palace,DF,2022-2023,34,2562,3,1,3.445598446764052,2.2960132341831923,3,0.14051522248243561,28,18,7,0
Virgil van Dijk,Liverpool,DF,2022-2023,32,2839,3,1,3.122492080554366,1.1658173147588968,3,0.12680521310320536,30,7,3,0
Harrison Reed,Fulham,MF,2022-2023,37,2911,3,4,2.1825738195329905,3.5145126404240727,3,0.21642047406389558,20,35,5,0
Ben Mee,Brentford,DF,2022-2023,37,3278,3,1,3.2241614628583197,1.680261291563511,3,0.10982306284319707,27,7,2,0
Thomas Partey,Arsenal,DF,2022-2023,33,2484,3,0,2.229622021317482,1.9341314993798733,3,0.10869565217391304,28,26,5,0
Pablo Fornals,West Ham,FW,2022-2023,32,1507,3,1,1.7289359364658594,2.018738079816103,3,0.23888520238885202,27,19,0,0
Chris Wood,"Newcastle,Nott'm Forest",FW,2022-2023,25,808,3,0,3.433256816118956,0.3606983013451099,2,0.22277227722772278,12,6,0,0
Gabriel,Arsenal,DF,2022-2023,38,3416,3,0,4.335554586723447,0.1663138093426823,3,0.07903981264637003,32,5,5,0
Youri Tielemans,Leicester,MF,2022-2023,31,2365,3,2,2.239441570825875,4.528865018859506,2,0.1522198731501057,31,30,4,0
Gianluca Scamacca,West Ham,FW,2022-2023,16,940,3,0,2.5387633964419365,1.1296455087140205,3,0.28723404255319146,30,13,3,0
Reiss Nelson,Arsenal,,2022-2023,11,174,3,2,1.8955533094704151,1.2082199901342392,3,2.586206896551724,12,8,0,0
Joe Willock,Newcastle,MF,2022-2023,35,2634,3,6,7.266156509518623,7.388796498999,3,0.30751708428246016,58,40,1,0
Curtis Jones,Liverpool,MF,2022-2023,18,1059,3,1,1.2679023258388042,1.010046985000372,3,0.3399433427762039,15,14,2,0
Pedro Porro,Tottenham,DF,2022-2023,15,1154,3,3,1.3973288014531136,2.532236455008388,3,0.4679376083188908,25,25,0,0
Mason Mount,Chelsea,FW,2022-2023,24,1682,3,2,2.1364672761410475,3.0019248109310865,3,0.267538644470868,33,29,4,0
Hee-Chan Hwang,Wolves,FW,2022-2023,27,1117,3,1,2.164069874212146,0.8787439614534378,3,0.3222918531781558,18,10,1,0
Conor Gallagher,Chelsea,MF,2022-2023,35,1590,3,1,2.5371697302907705,2.6282018795609474,3,0.22641509433962262,28,21,9,1
Ethan Pinnock,Brentford,DF,2022-2023,30,2700,3,0,3.5859055295586586,0.6192105077207088,3,0.1,15,8,0,0
Vitaly Janelt,Brentford,DF,2022-2023,35,2206,3,1,2.191264372318983,1.4620734620839355,3,0.16319129646418856,14,16,3,0
Alejandro Garnacho,Man United,MF,2022-2023,19,555,3,2,3.8779171984642735,1.1436776779592035,3,0.8108108108108107,24,3,3,0
João Palhinha,Fulham,MF,2022-2023,35,3124,3,0,2.6951698008924723,0.275451373308897,3,0.08642765685019206,38,7,14,0
Jaidon Anthony,Bournemouth,DF,2022-2023,30,1204,3,1,1.7566156624816358,0.9099286124110222,3,0.29900332225913623,21,12,2,0
Rasmus Kristensen,Leeds,DF,2022-2023,26,1964,3,1,0.789253355935216,1.2889635181054473,3,0.18329938900203666,13,8,4,0
Danilo,Nott'm Forest,MF,2022-2023,13,999,3,2,1.6606165627017615,0.8088494967669249,3,0.45045045045045046,15,9,1,0
Adam Lallana,Brighton,FW,2022-2023,16,742,2,1,1.1926603838801384,0.9687040857970716,2,0.3638814016172507,8,14,0,0
Alex Iwobi,Everton,FW,2022-2023,38,3388,2,7,2.7482709400355816,6.127815451472998,2,0.23907910271546634,42,64,2,0
Theo Walcott,Southampton,FW,2022-2023,20,1149,2,2,3.126369597390294,1.8109254278242588,2,0.31331592689295035,20,15,1,0
John Stones,Man City,DF,2022-2023,23,1852,2,2,1.3161899587139487,1.4483567401766777,2,0.19438444924406045,11,8,2,0
Eric Dier,Tottenham,DF,2022-2023,33,2815,2,1,1.4715977106243372,1.6204578075557947,2,0.09591474245115453,17,7,4,0
Ben Davies,Tottenham,DF,2022-2023,31,2295,2,2,0.9933742862194777,2.469028750434518,2,0.1568627450980392,14,20,4,0
Bertrand Traoré,Aston Villa,MF,2022-2023,8,216,2,0,0.856813095510006,0.0698933973908424,2,0.8333333333333334,9,1,1,0
Ben Chilwell,Chelsea,DF,2022-2023,23,1418,2,2,1.465110638178885,1.9936782559379933,2,0.2538787023977433,16,21,3,0
Adama Traoré,Wolves,FW,2022-2023,34,1452,2,1,1.420078607276082,3.147219412028789,2,0.18595041322314051,19,23,2,0
Kurt Zouma,West Ham,DF,2022-2023,25,1990,2,0,2.125173594802618,0.056879699230194,2,0.09045226130653267,19,1,0,0
Kalidou Koulibaly,Chelsea,DF,2022-2023,23,1809,2,1,1.0540769854560494,0.305135702714324,2,0.14925373134328357,11,7,5,1
Jorginho,"Arsenal,Chelsea",MF,2022-2023,32,2138,2,1,1.7956794500350952,0.5555977635085583,0,0.04209541627689429,11,12,4,0
Trent Alexander-Arnold,Liverpool,DF,2022-2023,37,2954,2,9,1.8788890931755304,13.222441317513583,2,0.33513879485443465,40,71,5,0
João Cancelo,Man City,DF,2022-2023,17,1289,2,1,0.5918373949825764,0.8360136020928621,2,0.2094647013188518,17,12,3,1
Rodri,Man City,DF,2022-2023,36,2938,2,6,4.119232214987278,4.539481725543737,2,0.2450646698434309,50,32,5,0
Adam Armstrong,Southampton,FW,2022-2023,30,1333,2,1,2.4375014984980226,1.730416551232338,2,0.20255063765941483,25,11,2,0
Dominic Calvert-Lewin,Everton,FW,2022-2023,17,1197,2,1,6.498087804764509,1.2365073096007109,1,0.15037593984962405,31,9,3,0
Daniel James,"Fulham,Leeds",FW,2022-2023,24,790,2,1,2.1174327954649925,1.5898781195282936,2,0.34177215189873417,16,8,0,0
Harry Wilson,Fulham,MF,2022-2023,29,1087,2,3,1.8703890815377235,1.3884916454553604,2,0.4139834406623735,18,12,1,0
Jean-Philippe Mateta,Crystal Palace,FW,2022-2023,29,717,2,0,3.308864532038569,0.4064396023750305,2,0.2510460251046025,28,5,3,0
Timothy Castagne,Leicester,DF,2022-2023,37,3257,2,3,1.9257993642240765,3.172707935795188,2,0.1381639545594105,18,21,3,0
Romain Perraud,Southampton,DF,2022-2023,29,1842,2,2,1.2091420125216246,2.266822852194309,2,0.19543973941368079,29,15,4,0
Yerry Mina,Everton,DF,2022-2023,7,606,2,0,1.6610938757658005,0.0843361243605613,2,0.297029702970297,8,1,2,0
Dejan Kulusevski,Tottenham,FW,2022-2023,30,2120,2,7,2.6102962754666805,5.482720654457808,2,0.3820754716981132,43,47,2,0
Fred,Man United,MF,2022-2023,35,1207,2,2,2.2472731824964285,2.549862952902913,2,0.29826014913007454,26,30,6,0
Tom Cairney,Fulham,MF,2022-2023,33,929,2,0,1.549193875864148,1.6246961504220965,2,0.193756727664155,21,12,2,0
Ryan Sessegnon,Tottenham,DF,2022-2023,17,810,2,0,2.117515377700329,1.040791004896164,2,0.2222222222222222,18,6,4,0
William Saliba,Arsenal,DF,2022-2023,27,2418,2,1,0.8184554874897003,1.120013577863574,2,0.11166253101736973,6,6,4,0
Stuart Armstrong,Southampton,MF,2022-2023,32,1408,2,1,2.106476968154311,2.606352062895894,2,0.19176136363636365,23,18,6,0
Naif Aguerd,West Ham,DF,2022-2023,18,1600,2,0,2.5115839689970016,0.6282200030982494,2,0.11249999999999999,12,6,4,0
Matheus Cunha,Wolves,FW,2022-2023,17,978,2,0,1.591183171607554,0.8713507484644651,2,0.18404907975460122,26,8,1,0
Ben White,Arsenal,DF,2022-2023,38,3094,2,5,0.9820632422342896,4.293553752824664,2,0.20361990950226244,10,27,5,0
Emerson,Tottenham,DF,2022-2023,26,1733,2,1,1.7453065998852253,0.4839589893817901,2,0.15579919215233698,17,9,2,1
Tomas Soucek,West Ham,MF,2022-2023,36,2839,2,3,3.82576912175864,1.9310189355164769,2,0.1585065163790067,34,15,3,0
Luke Ayling,Leeds,DF,2022-2023,29,2030,2,1,2.712577499449253,1.8191682416945696,2,0.1330049261083744,24,12,3,0
Pascal Struijk,Leeds,DF,2022-2023,29,2217,2,1,1.3350814320147038,2.1753706987947226,2,0.12178619756427606,16,13,5,0
Emmanuel Dennis,Nott'm Forest,FW,2022-2023,19,705,2,2,1.5486181434243915,0.5363962892442942,2,0.5106382978723405,21,7,3,0
Fabio Carvalho,Liverpool,FW,2022-2023,13,330,2,0,1.1579107120633123,0.1046279966831207,2,0.5454545454545455,11,1,0,0
Kamaldeen Sulemana,Southampton,FW,2022-2023,18,950,2,1,1.679018633440137,1.4270181329920888,2,0.28421052631578947,25,14,1,0
Kiernan Dewsbury-Hall,Leicester,FW,2022-2023,31,2334,2,2,1.8549880683422089,3.0710923951119184,2,0.15424164524421594,26,39,3,1
Matias Viña,Bournemouth,DF,2022-2023,12,453,2,0,0.7529756985604763,0.1579136550426483,2,0.3973509933774835,9,2,1,0
Michael Olise,Crystal Palace,FW,2022-2023,37,2774,2,11,2.659285433590412,7.174625148996711,2,0.42177361211247294,51,72,2,0
Joe Ayodele-Aribo,Southampton,FW,2022-2023,21,1224,2,0,2.054455615580082,0.9876715950667858,2,0.14705882352941177,14,9,2,0
Marcos Senesi,Bournemouth,DF,2022-2023,31,2508,2,0,2.0692426282912493,0.5055976919829845,2,0.07177033492822966,8,5,7,0
Wilfried Gnonto,Leeds,FW,2022-2023,24,1344,2,4,1.833498403429985,2.921407464891672,2,0.4017857142857143,22,22,7,0
Fabian Schär,Newcastle,DF,2022-2023,36,3223,1,3,5.092751467600465,2.4296507444232702,1,0.11169717654359293,56,19,7,0
Allan Saint-Maximin,Newcastle,FW,2022-2023,25,1101,1,5,1.6111805494874716,4.724137527868152,1,0.4904632152588556,28,31,1,0
Pierre-Emerick Aubameyang,Chelsea,FW,2022-2023,15,542,1,0,2.122752519324422,0.3434317037463188,1,0.16605166051660517,16,4,1,0
Joel Matip,Liverpool,DF,2022-2023,14,1095,1,0,0.6459370153024793,0.3237086497247219,1,0.08219178082191782,5,4,3,0
Ivan Perisic,Tottenham,DF,2022-2023,34,2107,1,8,3.0171149894595146,6.623175095766783,1,0.3844328429046037,29,48,6,0
Philippe Coutinho,Aston Villa,FW,2022-2023,20,750,1,0,1.3861289341002705,0.3858625032007694,1,0.12,21,8,3,0
Joel Ward,Crystal Palace,DF,2022-2023,28,2251,1,0,1.4655719939619305,0.3378884494304657,1,0.039982230119946685,7,10,6,0
James Tomkins,Crystal Palace,DF,2022-2023,6,340,1,0,0.7290570810437202,0.0,1,0.2647058823529412,3,0,1,1
Cheikhou Kouyaté,Nott'm Forest,DF,2022-2023,21,871,1,0,0.1867025382816791,0.9933399967849256,1,0.10332950631458095,6,8,3,0
Manuel Lanzini,West Ham,MF,2022-2023,10,230,1,0,0.6443301560357213,0.3371060192584991,1,0.391304347826087,3,1,0,0
Nathan Aké,Man City,DF,2022-2023,26,1874,1,0,1.3441827092319727,1.09055732563138,1,0.048025613660619,9,9,2,0
Seamus Coleman,Everton,DF,2022-2023,23,1686,1,0,0.2670318866148591,1.4559272825717926,1,0.05338078291814946,7,4,1,0
Ashley Young,Aston Villa,DF,2022-2023,29,2044,1,0,0.3949361126869917,0.7811885923147202,1,0.04403131115459882,15,14,7,0
Christian Eriksen,Man United,FW,2022-2023,28,2094,1,8,4.86724331881851,4.558254588395357,1,0.3868194842406877,38,36,3,0
Kieran Trippier,Newcastle,DF,2022-2023,38,3368,1,7,0.8719969913363457,13.462713163346052,1,0.21377672209026127,14,110,5,0
Marc Albrighton,Leicester,MF,2022-2023,6,232,1,0,0.4420046992599964,0.5711894929409027,1,0.3879310344827586,2,6,0,0
Diego Costa,Wolves,FW,2022-2023,23,1254,1,0,2.9844185262918472,0.5990131702274084,1,0.07177033492822966,28,11,5,1
Craig Dawson,"West Ham,Wolves",DF,2022-2023,25,2148,1,0,1.5213804170489311,0.1079010032117366,1,0.04189944134078212,17,2,6,0
Kyle Walker-Peters,Southampton,DF,2022-2023,31,2659,1,0,0.6717622503638268,1.83802130445838,1,0.03384731101918014,12,15,4,0
Alex Oxlade-Chamberlain,Liverpool,FW,2022-2023,9,338,1,0,1.493293778039515,0.7890531122684479,1,0.26627218934911245,7,5,0,0
Luke Shaw,Man United,DF,2022-2023,31,2570,1,2,0.9740113597363234,3.826654343865812,1,0.10505836575875485,14,34,8,0
Tyrone Mings,Aston Villa,DF,2022-2023,35,3150,1,2,1.2113220421597362,1.1698964163661003,1,0.08571428571428572,7,5,7,0
Dennis Praet,Leicester,MF,2022-2023,22,609,1,0,0.9074058122932912,0.5022870898246765,1,0.1477832512315271,5,3,1,0
Emerson,West Ham,DF,2022-2023,22,1331,1,0,1.005102353170514,0.8198722722008824,1,0.067618332081142,11,13,2,0
Michael Keane,Everton,DF,2022-2023,12,982,1,2,1.3261511586606505,1.0489701740443709,1,0.27494908350305497,14,3,0,0
James Tarkowski,Everton,DF,2022-2023,38,3420,1,1,3.02016625367105,3.46320622228086,1,0.05263157894736842,31,15,6,0
Rob Holding,Arsenal,DF,2022-2023,14,556,1,0,0.3741819858551025,0.0,1,0.1618705035971223,5,0,0,0
Nampalys Mendy,Leicester,MF,2022-2023,19,743,1,0,0.0925476998090744,0.0272580198943614,1,0.12113055181695827,2,2,1,0
Pontus Jansson,Brentford,DF,2022-2023,12,724,1,0,0.1967248991131782,0.0,1,0.12430939226519337,4,0,0,0
Lucas Digne,Aston Villa,DF,2022-2023,28,1494,1,0,0.4971364550292492,1.567529585212469,1,0.06024096385542168,8,18,5,0
Pablo Sarabia,Wolves,FW,2022-2023,13,788,1,0,2.5362928099930286,0.7747617959976196,1,0.11421319796954314,20,11,3,0
Mateo Kovacic,Chelsea,MF,2022-2023,27,1700,1,2,1.3262846283614635,1.793226939626038,1,0.1588235294117647,23,23,8,0
Jonny,Wolves,DF,2022-2023,18,1257,1,0,0.1871340097859501,0.5784888137131929,1,0.07159904534606205,9,5,3,1
